album_id,album_name,release_date,total_tracks,url
1bBez9PNvkJPW08bU7NYta,Scarlet,2023-09-20,15,https://open.spotify.com/album/1bBez9PNvkJPW08bU7NYta
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),2023-07-14,3,https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX
0fJ0beklzFwoBv01U8792s,3D : The Remixes,2023-10-02,7,https://open.spotify.com/album/0fJ0beklzFwoBv01U8792s
3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15,1,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
18ogtNq9F7DmMkNYO6Xb4k,Strangers,2023-09-01,1,https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k
0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,9,https://open.spotify.com/album/0FqAaUEyKCyUNFE1uQPZ7i
3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,2023-03-23,23,https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8
72GhGik5fsSeFkgpjsllVj,UN PREVIEW,2023-09-25,1,https://open.spotify.com/album/72GhGik5fsSeFkgpjsllVj
1xJHno7SmdVtZAtXbdbDZp,GUTS,2023-09-08,12,https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp
66k6EGkPtYoN44anGIsEPW,Si No Estás,2022-09-23,1,https://open.spotify.com/album/66k6EGkPtYoN44anGIsEPW
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,https://open.spotify.com/album/5qmZefgh78fN3jsyPPlvuw
07kam1Dks7GIucbSelfvyX,Columbia,2023-07-07,1,https://open.spotify.com/album/07kam1Dks7GIucbSelfvyX
4jox3ip1I39DFC2B7R5qLH,GÉNESIS,2023-06-29,17,https://open.spotify.com/album/4jox3ip1I39DFC2B7R5qLH
3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,1,https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
5cH7FqB7JD5q1tJXJ7FHYu,Dance The Night (From Barbie The Album),2023-05-25,1,https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu
6NcI39WPu4kY6Tul11nhSv,Daylight,2023-04-14,1,https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv
5MU0RmBSpoSxOPYBfcobDc,Prada,2023-08-11,1,https://open.spotify.com/album/5MU0RmBSpoSxOPYBfcobDc
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
4x6cjOcVz44aiLSOHCLKPd,Que Onda,2023-08-30,1,https://open.spotify.com/album/4x6cjOcVz44aiLSOHCLKPd
2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,18,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
3Fk8yQvPlCHgwR2pNhEIRA,Don Juan,2023-08-25,25,https://open.spotify.com/album/3Fk8yQvPlCHgwR2pNhEIRA
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
3WLJmMZUeDOuERFAk1Mxs6,Jawan,2023-09-05,7,https://open.spotify.com/album/3WLJmMZUeDOuERFAk1Mxs6
52PtAAvfi8ZGTRK5c700y4,Colmillo De Leche,2023-05-19,18,https://open.spotify.com/album/52PtAAvfi8ZGTRK5c700y4
6PbnGueEO6LGodPfvNldYf,Zach Bryan,2023-08-25,16,https://open.spotify.com/album/6PbnGueEO6LGodPfvNldYf
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,11,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j
7ixOAT89NSsgUITYc5ByB5,Layover,2023-09-08,6,https://open.spotify.com/album/7ixOAT89NSsgUITYc5ByB5
4jtQUtS4ABgER3DnGfKJCv,Classy 101,2023-03-31,1,https://open.spotify.com/album/4jtQUtS4ABgER3DnGfKJCv
5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,2023-06-01,1,https://open.spotify.com/album/5l0QlaI3wdZpE7ggoO5Rwg
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB
42D6fdFJ4SLnh4jXZJrsNa,Holanda,2023-07-28,1,https://open.spotify.com/album/42D6fdFJ4SLnh4jXZJrsNa
4xkM0BwLM9H2IUcbYzpcBI,I Love You.,2013-04-19,11,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI
0Gf1yE895FKK4YWVRuAeg8,Long Way Down (Deluxe),2013-06-24,15,https://open.spotify.com/album/0Gf1yE895FKK4YWVRuAeg8
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,https://open.spotify.com/album/5O0zUvdnJr0RbWzLFneN2i
5DvJgsMLbaR1HmAI6VhfcQ,Endless Summer Vacation,2023-08-18,14,https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',2023-07-07,2,https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I
5i9lMMUZ1QZNsLEE3j50kT,El Comienzo,2023-08-25,12,https://open.spotify.com/album/5i9lMMUZ1QZNsLEE3j50kT
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3
5aDEezKnOqyQo0qvTFhpkM,DESVELADO,2023-04-28,16,https://open.spotify.com/album/5aDEezKnOqyQo0qvTFhpkM
07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09,23,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ
22sXXkKgjEuawIFL1e1tRw,Water,2023-07-28,1,https://open.spotify.com/album/22sXXkKgjEuawIFL1e1tRw
1wt2WZBZZ9GhM0AC61l7SS,Heeriye (feat. Arijit Singh),2023-07-25,1,https://open.spotify.com/album/1wt2WZBZZ9GhM0AC61l7SS
0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,2023-04-27,22,https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs
